DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2023-03-14,EQ,30.95,31.0,29.55,30.65,30.1,29.95,30.09,583.4,29.55,1116564,33594975.55,3185,RAMASTEEL
2023-03-13,EQ,32.3,32.3,30.5,32.1,30.65,30.65,31.21,583.4,30.5,481485,15028685.0,2662,RAMASTEEL
2023-03-10,EQ,32.35,33.0,31.85,32.35,32.0,32.1,32.28,583.4,30.75,742917,23980941.75,5827,RAMASTEEL
2023-03-09,EQ,32.7,33.15,32.15,32.25,32.3,32.35,32.72,583.4,30.75,508462,16634971.7,2031,RAMASTEEL
2023-03-08,EQ,31.95,32.75,31.6,31.85,32.6,32.25,32.03,583.4,30.75,474269,15191182.0,2290,RAMASTEEL
2023-03-06,EQ,32.6,32.65,31.65,32.25,32.0,31.85,32.09,583.4,30.75,1044868,33531165.95,2579,RAMASTEEL
2023-03-03,EQ,33.1,33.4,31.95,32.8,32.45,32.25,32.68,583.4,30.75,656643,21458194.35,2546,RAMASTEEL
2023-03-02,EQ,33.5,34.3,32.7,33.3,32.95,32.8,33.42,583.4,30.75,1438606,48073846.2,3627,RAMASTEEL
2023-03-01,EQ,31.95,33.3,31.8,31.75,33.25,33.3,32.97,583.4,30.75,2871073,94646592.15,17786,RAMASTEEL
2023-02-28,EQ,31.2,32.55,31.1,31.0,31.8,31.75,32.07,583.4,30.75,1683069,53979028.55,5705,RAMASTEEL
2023-02-27,EQ,31.7,31.7,30.75,31.95,31.0,31.0,31.04,583.4,30.75,820981,25481272.25,2930,RAMASTEEL
2023-02-24,EQ,33.25,33.5,31.55,33.05,31.7,31.95,32.44,583.4,31.55,1178546,38235625.2,7595,RAMASTEEL
2023-02-23,EQ,33.65,34.4,32.65,33.65,33.05,33.05,33.47,583.4,32.65,2012778,67362946.6,6649,RAMASTEEL
2023-02-22,EQ,34.0,35.3,33.25,34.55,33.6,33.65,34.03,583.4,32.85,695207,23661254.75,6082,RAMASTEEL
2023-02-21,EQ,33.0,34.7,32.95,33.05,34.6,34.55,34.35,583.4,32.85,4793895,164673060.65,25507,RAMASTEEL
2023-02-20,EQ,34.0,34.5,32.85,33.8,32.9,33.05,33.47,583.4,32.85,992766,33230935.7,17112,RAMASTEEL
2023-02-17,EQ,34.65,35.15,33.55,34.75,33.75,33.8,34.2,583.4,33.2,736400,25184811.7,3256,RAMASTEEL
2023-02-16,EQ,35.7,35.7,34.4,35.3,34.8,34.75,34.87,583.4,33.2,804672,28058456.45,2522,RAMASTEEL
2023-02-15,EQ,36.3,36.3,34.85,35.6,35.65,35.3,35.19,583.4,33.2,588038,20691907.45,2444,RAMASTEEL
2023-02-14,EQ,36.35,36.95,35.45,36.35,35.6,35.6,35.99,583.4,33.2,358485,12901816.9,2816,RAMASTEEL
2023-02-13,EQ,36.55,37.3,35.8,36.15,36.1,36.35,36.63,583.4,33.2,1296413,47483156.35,3338,RAMASTEEL
2023-02-10,EQ,35.4,37.1,35.0,35.35,36.05,36.15,36.27,583.4,33.2,5714763,207262175.8,12943,RAMASTEEL
2023-02-09,EQ,34.0,35.35,33.65,33.7,35.35,35.35,35.22,583.4,33.2,4896132,172432238.75,9212,RAMASTEEL
2023-02-08,EQ,34.7,35.0,33.45,34.55,33.55,33.7,34.04,583.4,33.2,930669,31679380.1,3809,RAMASTEEL
2023-02-07,EQ,34.2,34.75,33.2,34.3,34.5,34.55,34.12,583.4,33.2,1496110,51042703.4,5361,RAMASTEEL
2023-02-06,EQ,36.0,36.0,34.15,34.85,34.45,34.3,34.52,583.4,34.1,635466,21938905.9,3346,RAMASTEEL
2023-02-03,EQ,35.25,36.25,34.1,35.5,34.8,34.85,34.85,583.4,34.1,2134862,74400318.65,20237,RAMASTEEL
2023-02-02,EQ,37.6,37.6,35.25,36.6,35.55,35.5,35.88,583.4,34.2,1020958,36634870.25,5048,RAMASTEEL
2023-02-01,EQ,37.95,38.5,36.1,37.9,37.45,36.6,37.45,583.4,34.2,1213946,45467377.65,4729,RAMASTEEL
2023-01-31,EQ,36.7,37.9,36.2,36.1,37.9,37.9,37.78,583.4,34.2,3287320,124195138.95,8258,RAMASTEEL
2023-01-30,EQ,36.5,37.8,35.8,36.95,36.15,36.1,36.52,583.4,34.2,1287021,47005270.8,8601,RAMASTEEL
2023-01-27,EQ,36.1,37.5,34.2,36.0,36.95,36.95,35.86,583.4,34.2,2683945,96244567.15,12632,RAMASTEEL
2023-01-25,EQ,37.7,38.25,35.95,37.8,36.1,36.0,36.54,583.4,35.95,1912123,69870696.7,11525,RAMASTEEL
2023-01-24,EQ,39.9,39.9,37.6,39.35,37.85,37.8,38.18,583.4,36.95,1805095,68910093.35,6373,RAMASTEEL
2023-01-23,EQ,40.7,41.2,38.75,40.4,39.35,39.35,39.37,583.4,36.95,2775278,109270972.5,31682,RAMASTEEL
2023-01-20,EQ,40.9,41.25,38.85,40.6,40.15,40.4,40.24,583.4,36.95,2564119,103181283.85,20331,RAMASTEEL
2023-01-19,EQ,40.0,42.35,39.45,40.75,40.6,40.6,40.95,583.4,36.95,4210460,172423623.7,33533,RAMASTEEL
2023-01-18,EQ,37.5,40.8,36.95,38.9,40.8,40.75,39.98,583.4,36.95,24544544,981395631.35,55855,RAMASTEEL
2023-01-17,EQ,38.9,38.9,38.9,40.95,38.9,38.9,38.9,583.4,38.15,415655,16168979.5,2581,RAMASTEEL
2023-01-16,EQ,42.7,42.7,40.55,41.95,41.0,40.95,41.52,583.4,38.15,1007627,41835829.9,5192,RAMASTEEL
2023-01-13,EQ,44.0,44.4,40.4,43.1,42.3,41.95,41.91,583.4,38.15,2724192,114163877.3,10250,RAMASTEEL
2023-01-12,EQ,43.9,44.25,42.25,43.05,43.25,43.1,43.11,583.4,38.15,1871934,80691168.8,14220,RAMASTEEL
2023-01-11,EQ,43.55,44.2,42.05,42.8,43.65,43.05,43.25,583.4,38.15,3036560,131327612.25,47038,RAMASTEEL
2023-01-10,EQ,41.95,46.1,41.0,41.95,42.8,42.8,43.94,583.4,38.15,12151128,533940307.9,111709,RAMASTEEL
2023-01-09,EQ,41.95,41.95,41.95,38.15,41.95,41.95,41.95,583.4,38.15,1418652,59512451.4,894,RAMASTEEL
2023-01-06,EQ,38.15,38.15,38.15,173.55,38.15,38.15,38.15,583.4,38.15,321557,12267399.55,394,RAMASTEEL
2023-01-05,EQ,184.3,184.8,170.35,183.9,173.6,173.55,176.1,583.4,99.8,1320567,232551283.1,65225,RAMASTEEL
2023-01-04,EQ,185.0,188.0,181.1,182.9,184.0,183.9,185.82,583.4,99.8,2143079,398222178.55,179442,RAMASTEEL
2023-01-03,EQ,178.0,185.0,174.6,176.5,183.6,182.9,181.35,583.4,99.8,2476305,449072530.3,143537,RAMASTEEL
2023-01-02,EQ,169.1,178.5,168.2,166.25,177.3,176.5,175.44,583.4,99.8,2175843,381727560.55,183876,RAMASTEEL
2022-12-30,EQ,173.4,176.5,165.0,171.7,166.75,166.25,167.2,583.4,99.8,2882792,481994816.3,183882,RAMASTEEL
2022-12-29,EQ,165.45,175.5,163.3,165.45,171.0,171.7,171.21,583.4,99.8,1712403,293184206.75,214837,RAMASTEEL
2022-12-28,EQ,165.45,174.0,164.7,163.5,165.5,165.45,167.58,583.4,99.8,1400317,234664355.65,95565,RAMASTEEL
2022-12-27,EQ,162.0,166.4,157.65,160.2,163.5,163.5,163.45,583.4,99.8,732268,119687974.55,58807,RAMASTEEL
2022-12-26,EQ,140.0,160.2,132.6,145.65,160.2,160.2,153.16,583.4,99.8,1178861,180559024.95,79231,RAMASTEEL
2022-12-23,EQ,156.05,159.0,145.65,161.8,145.65,145.65,150.65,583.4,99.8,678534,102220704.25,17632,RAMASTEEL
2022-12-22,EQ,171.55,173.2,157.65,171.45,160.9,161.8,160.68,583.4,99.8,1784070,286665980.1,49038,RAMASTEEL
2022-12-21,EQ,175.8,178.05,167.8,174.3,171.15,171.45,172.3,583.4,99.8,825042,142151256.1,44982,RAMASTEEL
2022-12-20,EQ,179.1,181.5,173.25,179.2,174.35,174.3,175.48,583.4,99.8,1084224,190254692.8,100357,RAMASTEEL
2022-12-19,EQ,178.0,182.15,177.75,176.5,178.95,179.2,179.93,583.4,99.8,944734,169989069.05,126761,RAMASTEEL
2022-12-16,EQ,172.9,178.55,171.05,173.25,176.5,176.5,175.47,583.4,99.8,656710,115231799.35,93307,RAMASTEEL
2022-12-15,EQ,174.75,184.7,172.55,173.25,173.5,173.25,176.69,583.4,99.8,1652271,291937120.65,123495,RAMASTEEL
